City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
203,Varhaug,58.6147,5.6457,34.48,91,100,12.88,NO,2023-01-17 02:21:51
204,Lundazi,-12.2929,33.1782,63.34,93,100,2.46,ZM,2023-01-17 02:21:52
205,Deputatskiy,69.3,139.9,-32.93,100,100,1.05,RU,2023-01-17 02:21:52
206,Dinguiraye,11.3,-10.7167,68.67,15,2,1.9,GN,2023-01-17 02:21:53
207,Casteltermini,37.5405,13.6445,51.82,79,100,9.78,IT,2023-01-17 02:21:53
208,Batagay-Alyta,67.8006,130.4114,-27.71,99,100,2.93,RU,2023-01-17 02:21:54
209,Koroni,36.8,21.95,59.07,77,24,20.02,GR,2023-01-17 02:21:54
210,Mareeba,-17.0,145.4333,81.32,83,100,5.59,AU,2023-01-17 02:21:55
211,Pathein,16.7833,94.7333,70.47,55,4,7.92,MM,2023-01-17 02:21:55
212,Buala,-8.145,159.5921,85.8,67,100,4.47,SB,2023-01-17 02:21:56
213,Dobele,56.625,23.2786,32.65,94,76,10.0,LV,2023-01-17 02:21:56
214,Fethiye,36.6217,29.1164,44.47,77,9,4.41,TR,2023-01-17 02:21:57
215,Salta,-24.7859,-65.4117,76.57,58,75,4.61,AR,2023-01-17 02:20:17
216,Isangel,-19.55,169.2667,82.31,61,98,11.72,VU,2023-01-17 02:21:47
217,Togur,58.3631,82.8265,15.03,92,100,12.24,RU,2023-01-17 02:21:58
218,Itambacuri,-18.0311,-41.685,68.86,96,100,3.65,BR,2023-01-17 02:21:59
219,Georgetown,5.4112,100.3354,84.13,73,20,8.05,MY,2023-01-17 02:21:28
220,Nanchong,30.7951,106.0847,38.68,69,100,2.44,CN,2023-01-17 02:22:00
221,Hudson Bay,52.85,-102.3842,-1.75,100,98,1.77,CA,2023-01-17 02:22:01
222,Saskylakh,71.9167,114.0833,-24.59,98,49,7.63,RU,2023-01-17 02:21:22
223,Tautira,-17.7333,-149.15,79.5,68,99,4.59,PF,2023-01-17 02:22:02
224,Maracacume,-2.0428,-45.9592,71.37,99,84,2.89,BR,2023-01-17 02:22:03
225,Coquimbo,-29.9533,-71.3436,62.33,77,0,6.91,CL,2023-01-17 02:23:03
226,Charters Towers,-20.1,146.2667,77.63,80,100,10.0,AU,2023-01-17 02:23:04
227,Lavrentiya,65.5833,-171.0,-16.89,90,97,13.96,RU,2023-01-17 02:23:05
228,Kruisfontein,-34.0033,24.7314,70.25,94,100,6.78,ZA,2023-01-17 02:23:06
229,Matola,-25.9622,32.4589,75.15,88,20,4.61,MZ,2023-01-17 02:23:07
230,Morehead,37.2711,-87.1764,55.78,91,100,13.8,US,2023-01-17 02:23:08
231,Concarneau,47.875,-3.9225,39.99,80,100,11.99,FR,2023-01-17 02:23:09
232,Raga,8.4596,25.678,67.64,26,23,4.92,SS,2023-01-17 02:23:10
233,Hambantota,6.1241,81.1185,75.54,100,20,3.44,LK,2023-01-17 02:23:10
234,Salinas,36.6777,-121.6555,51.51,81,93,5.01,US,2023-01-17 02:18:45
235,Suraabad,40.8192,49.4687,43.84,84,91,11.54,AZ,2023-01-17 02:23:11
236,Pevek,69.7008,170.3133,-31.41,99,15,1.74,RU,2023-01-17 02:23:12
237,Touros,-5.1989,-35.4608,78.58,78,66,10.78,BR,2023-01-17 02:21:40
238,Gold Coast,-28.0,153.4333,87.24,66,75,13.8,AU,2023-01-17 02:23:14
239,Novikovo,51.1537,37.8879,28.0,92,100,9.04,RU,2023-01-17 02:23:14
240,Saint-Augustin,51.226,-58.6502,31.73,96,100,25.88,CA,2023-01-17 02:23:15
241,Port Macquarie,-31.4333,152.9167,73.89,65,54,7.67,AU,2023-01-17 02:23:15
242,Savelugu,9.6244,-0.8253,74.75,19,20,7.09,GH,2023-01-17 02:23:16
243,Poronaysk,49.2167,143.1167,-4.99,83,20,2.28,RU,2023-01-17 02:23:17
244,Ahipara,-35.1667,173.1667,71.91,57,27,8.66,NZ,2023-01-17 02:23:17
245,Medyn,54.9692,35.8586,27.7,96,100,10.2,RU,2023-01-17 02:23:18
246,Fartura,-23.3883,-49.51,71.89,93,97,6.89,BR,2023-01-17 02:23:18
247,Qom,34.6401,50.8764,36.16,59,6,0.38,IR,2023-01-17 02:23:19
248,Aripuana,-9.1667,-60.6333,71.24,99,98,2.82,BR,2023-01-17 02:23:19
249,Port Alfred,-33.5906,26.891,73.18,98,100,1.01,ZA,2023-01-17 02:23:20
250,Igbo Ora,7.4333,3.2833,75.4,45,10,1.28,NG,2023-01-17 02:23:20
251,Gornopravdinsk,60.05,69.9,12.4,94,92,8.39,RU,2023-01-17 02:23:21
252,Chokurdakh,70.6333,147.9167,-24.23,96,89,11.45,RU,2023-01-17 02:22:45
253,Balakhta,55.38,91.6,11.82,94,100,14.83,RU,2023-01-17 02:23:22
254,Constitucion,-35.3333,-72.4167,54.16,89,10,6.73,CL,2023-01-17 02:23:22
255,Porirua,-41.1333,174.85,75.34,67,0,1.01,NZ,2023-01-17 02:23:23
256,Debre Birhan,9.6833,39.5333,43.36,40,70,4.05,ET,2023-01-17 02:23:23
257,Sorong,-0.8833,131.25,83.71,73,81,4.88,ID,2023-01-17 02:23:25
258,Sawakin,19.1059,37.3321,72.84,80,100,16.62,SD,2023-01-17 02:23:26
259,Umm Lajj,25.0213,37.2685,64.08,51,10,9.08,SA,2023-01-17 02:23:26
260,Payo,-3.7508,103.6372,76.77,92,100,1.41,ID,2023-01-17 02:23:28
261,Bethel,41.3712,-73.414,36.48,58,0,4.61,US,2023-01-17 02:21:46
262,Sibut,5.718,19.0739,71.82,28,100,3.53,CF,2023-01-17 02:23:29
263,Hofn,64.2539,-15.2082,32.29,59,100,20.27,IS,2023-01-17 02:23:29
264,Kutum,14.2,24.6667,52.95,35,23,6.06,SD,2023-01-17 02:23:30
265,Odweyne,9.4092,45.064,63.01,56,47,6.73,SO,2023-01-17 02:23:30
266,Saint George,37.1041,-113.5841,49.95,69,20,18.41,US,2023-01-17 02:20:56
267,Alvand,36.3187,49.1678,21.65,90,40,4.36,IR,2023-01-17 02:23:31
268,Huilong,31.8111,121.655,40.93,48,7,8.55,CN,2023-01-17 02:23:32
269,Mahebourg,-20.4081,57.7,79.09,73,40,12.66,MU,2023-01-17 02:18:57
270,Makakilo City,21.3469,-158.0858,80.92,64,0,11.5,US,2023-01-17 02:21:02
271,Camacha,33.0833,-16.3333,56.62,72,75,13.8,PT,2023-01-17 02:23:33
272,Nyurba,63.2842,118.3319,-40.65,100,100,2.3,RU,2023-01-17 02:23:34
273,Shima,24.4478,117.8111,55.42,69,78,3.89,CN,2023-01-17 02:24:34
274,Fortuna,40.5982,-124.1573,48.65,88,75,0.0,US,2023-01-17 02:21:52
275,Abnub,27.2696,31.1511,48.42,71,0,3.6,EG,2023-01-17 02:24:35
276,Manaure,11.7751,-72.4445,77.85,79,0,16.91,CO,2023-01-17 02:24:36
277,Vestmannaeyjar,63.4427,-20.2734,28.6,69,14,19.15,IS,2023-01-17 02:24:36
278,Sandwick,60.0,-1.25,37.22,81,20,29.93,GB,2023-01-17 02:24:37
279,Centralia,46.7162,-122.9543,46.35,93,100,4.61,US,2023-01-17 02:24:38
280,Severo-Kurilsk,50.6789,156.125,23.34,62,95,14.18,RU,2023-01-17 02:24:22
281,Sola,-13.8833,167.55,82.02,73,69,14.12,VU,2023-01-17 02:23:45
282,Mount Isa,-20.7333,139.5,85.77,54,100,8.05,AU,2023-01-17 02:24:39
283,Vostok,46.4856,135.8833,-3.39,85,90,3.65,RU,2023-01-17 02:24:40
284,Galle,6.0367,80.217,76.28,85,100,2.73,LK,2023-01-17 02:24:40
285,Dunedin,-45.8742,170.5036,66.79,61,54,5.99,NZ,2023-01-17 02:22:18
286,Souillac,-20.5167,57.5167,79.18,73,40,12.66,MU,2023-01-17 02:24:41
287,Kavieng,-2.5744,150.7967,83.41,69,100,8.14,PG,2023-01-17 02:20:16
288,Xuddur,4.1213,43.8894,66.11,79,29,13.38,SO,2023-01-17 02:24:42
289,Taltal,-25.4,-70.4833,66.47,80,5,3.98,CL,2023-01-17 02:23:01
290,Killybegs,54.6333,-8.45,36.25,63,100,3.09,IE,2023-01-17 02:24:43
291,Zhangjiakou,40.81,114.8794,12.79,61,34,6.4,CN,2023-01-17 02:24:43
292,Sur,22.5667,59.5289,67.21,68,61,3.47,OM,2023-01-17 02:24:44
293,Rairangpur,22.2676,86.1751,59.02,76,0,2.37,IN,2023-01-17 02:24:45
294,Oyama,36.3,139.8,43.59,43,69,2.15,JP,2023-01-17 02:24:45
